Ancestor?,Scan date,Nr,Name,Temp Evo,Gender,Nickname,Level,possibleLevels,CP,HP,Dust cost,min IV%,ØIV%,max IV%,ØATT IV,ØDEF IV,ØHP IV,Unique?,Fast move,Fast move (ID),Special move,Special move (ID),Special move 2,Special move 2 (ID),DPS,LL Rank (min),LL Rank (max),GL Evo,GL Rank (min),GL Rank (max),UL Evo,UL Rank (min),UL Rank (max),Box,Custom1,Custom2,Saved,Egg,Lucky?,Favorite,BuddyBoosted,Form,ShadowForm,MultiForm?,Dynamax,Height (cm),Weight (g),Height Tag,Catch Date,Catch Level
0,5/7/26 0:13:44,307,요가랑,-,?,요가랑53,22.0,22.0,379,66,3000,53.3,53.3,53.3,8.0,12.0,4.0,1, - , - , - , - , - , - ,0.0,1700,1700,요가램,1588,1588, - , - , - ,Default,,,0,0,?,?,0,2113,1,0,?,?,?,0,?,?
0,5/7/26 0:13:42,20,레트라,-,?,레트라44,11.0,11.0,483,67,1300,44.4,44.4,44.4,1.0,12.0,7.0,1, - , - , - , - , - , - ,0.0,1903,1903,레트라,265,265, - , - , - ,Default,,,0,0,?,?,0,398,7,0,?,?,?,0,?,?
0,5/7/26 0:13:40,909,뜨아거,-,?,뜨아거42,2.0,2.0,44,27,200,42.2,42.2,42.2,7.0,12.0,0.0,1, - , - , - , - , - , - ,0.0,1021,1021,라우드본,1809,1809,라우드본,2405,2405,Default,,,0,0,?,?,0,2686,1,0,?,?,?,0,?,?
0,5/7/26 0:13:32,226,만타인,-,?,만타인87,15.0,15.0,883,90,1900,86.7,86.7,86.7,13.0,14.0,12.0,1, - , - , - , - , - , - ,0.0, - , - ,만타인,3591,3591,만타인,62,62,Default,,,0,0,?,?,0,2073,1,0,?,?,?,0,?,?
0,5/7/26 0:13:31,444,한바이트,-,?,한바이91,15.0,15.0,791,94,1900,91.1,91.1,91.1,14.0,14.0,13.0,1, - , - , - , - , - , - ,0.0, - , - ,한바이트,3086,3086,한카리아스,2694,2694,Default,,,0,0,?,?,0,1128,7,0,?,?,?,0,?,?
0,5/7/26 0:13:26,316,꼴깍몬,-,?,꼴깍몬33,4.0,4.0,71,47,400,33.3,33.3,33.3,0.0,0.0,15.0,1, - , - , - , - , - , - ,0.0,500,500,꿀꺽몬,201,201, - , - , - ,Default,,,0,0,?,?,0,2120,1,0,?,?,?,0,?,?
0,5/7/26 0:13:24,83,파오리,-,?,파오리78,11.0,11.0,372,68,1300,77.8,77.8,77.8,14.0,7.0,14.0,1, - , - , - , - , - , - ,0.0,3346,3346, - , - , - , - , - , - ,Default,,,0,0,?,?,0,1245,7,0,?,?,?,0,?,?
0,5/7/26 0:13:19,909,뜨아거,-,?,뜨아거24,10.0,10.0,264,74,1000,24.4,24.4,24.4,2.0,0.0,9.0,1, - , - , - , - , - , - ,0.0,2237,2237,악뜨거,1150,1150,라우드본,1706,1706,Default,,,0,0,?,?,0,2686,1,0,?,?,?,0,?,?
0,5/7/26 0:13:16,540,두르보,-,?,두르보64,21.0,21.0,553,79,3000,64.4,64.4,64.4,15.0,12.0,2.0,1, - , - , - , - , - , - ,0.0, - , - ,두르쿤,771,771,모아머,3638,3638,Default,,,0,0,?,?,0,2260,1,0,?,?,?,0,?,?
0,5/7/26 0:11:32,213,단단지,-,?,단단지49,8.0,8.0,63,32,800,48.9,48.9,48.9,7.0,13.0,2.0,1, - , - , - , - , - , - ,0.0, - , - , - , - , - , - , - , - ,Default,,,0,0,?,?,0,1312,7,0,?,?,?,0,?,?
0,5/7/26 0:09:20,736,턱지충이,-,?,턱지충64,2.0,2.0,39,23,200,64.4,64.4,64.4,6.0,13.0,10.0,1, - , - , - , - , - , - ,0.0,655,655,투구뿌논,940,940,투구뿌논,521,521,Default,,,0,0,?,?,0,2419,7,0,?,?,?,0,?,?
0,5/7/26 0:05:55,66,알통몬,-,?,알통몬84,20.0,20.0,707,110,2500,84.4,84.4,84.4,15.0,10.0,13.0,1, - , - , - , - , - , - ,0.0, - , - ,알통몬,180,180,괴력몬,2636,2636,Default,,,0,0,?,?,0,1294,7,0,?,?,?,0,?,?
0,5/7/26 0:05:53,948,들눈해,-,?,들눈해51,5.0,5.0,118,38,600,51.1,51.1,51.1,0.0,10.0,13.0,1, - , - , - , - , - , - ,0.0,308,308,육파리,18,18,육파리,288,288,Default,,,0,0,?,?,0,2722,1,0,?,?,?,0,?,?
0,5/7/26 0:05:51,147,미뇽,-,?,미뇽80,20.0,20.0,539,81,2500,80.0,80.0,80.0,8.0,13.0,15.0,1, - , - , - , - , - , - ,0.0, - , - ,신뇽,824,824,망나뇽,696,696,Default,,,0,0,?,?,0,621,7,0,?,?,?,0,?,?
0,5/7/26 0:05:50,539,타격귀,-,?,타격귀73,7.0,7.0,518,68,800,73.3,73.3,73.3,4.0,15.0,14.0,1, - , - , - , - , - , - ,0.0, - , - ,타격귀,202,202,타격귀,104,104,Default,,,0,0,?,?,0,2259,7,0,?,?,?,0,?,?
0,5/7/26 0:05:48,761,달콤아,-,?,달콤아69,12.0,12.0,130,63,1300,68.9,68.9,68.9,2.0,14.0,15.0,1, - , - , - , - , - , - ,0.0,1380,1380,달코퀸,387,387,달코퀸,27,27,Default,,,0,0,?,?,0,2441,1,0,?,?,?,0,?,?
0,5/7/26 0:05:47,255,아차모,-,?,아차모96,20.0,20.0,620,84,2500,95.6,95.6,95.6,15.0,15.0,13.0,1, - , - , - , - , - , - ,0.0, - , - ,영치코,2332,2332,번치코,1581,1581,Default,,,0,0,?,?,0,1537,7,0,?,?,?,0,?,?
0,5/7/26 0:05:45,688,거북손손,-,?,거북손67,9.0,9.0,214,54,1000,66.7,66.7,66.7,4.0,12.0,14.0,1, - , - , - , - , - , - ,0.0,883,883,거북손데스,1509,1509,거북손데스,271,271,Default,,,0,0,?,?,0,2375,1,0,?,?,?,0,?,?
0,5/7/26 0:05:44,742,에블리,-,?,TR에블리71,33.0,33.0,724,99,7000,71.1,71.1,71.1,4.0,15.0,13.0,1, - , - , - , - , - , - ,0.0, - , - , - , - , - ,에리본,333,333,Default,,,0,0,?,?,0,2424,1,0,?,?,?,0,?,?
0,5/7/26 0:05:41,529,두더류,-,?,두더류87,20.0,20.0,765,100,2500,86.7,86.7,86.7,15.0,11.0,13.0,1, - , - , - , - , - , - ,0.0, - , - ,두더류,204,204,몰드류,3258,3258,Default,,,0,0,?,?,0,2249,7,0,?,?,?,0,?,?
0,5/7/26 0:05:38,819,탐리스,-,?,탐리스71,10.0,10.0,241,78,1000,71.1,71.1,71.1,4.0,15.0,13.0,1, - , - , - , - , - , - ,0.0,367,367,요씽리스,372,372,요씽리스,43,43,Default,,,0,0,?,?,0,2494,1,0,?,?,?,0,?,?
0,5/7/26 0:05:35,829,꼬모카,-,?,꼬모카36,8.0,8.0,131,45,800,35.6,35.6,35.6,12.0,4.0,0.0,1, - , - , - , - , - , - ,0.0,3747,3747,백솜모카,3920,3920, - , - , - ,Default,,,0,0,?,?,0,2504,1,0,?,?,?,0,?,?
0,5/7/26 0:05:32,688,거북손손,-,?,거북손60,4.0,4.0,85,34,400,60.0,60.0,60.0,2.0,13.0,12.0,1, - , - , - , - , - , - ,0.0,471,471,거북손데스,109,109,거북손데스,59,59,Default,,,0,0,?,?,0,2375,1,0,?,?,?,0,?,?
0,5/7/26 0:05:30,742,에블리,-,?,에블리62,7.0,7.0,152,46,800,62.2,62.2,62.2,1.0,15.0,12.0,1, - , - , - , - , - , - ,0.0,324,324,에리본,144,144,에리본,735,735,Default,,,0,0,?,?,0,2424,1,0,?,?,?,0,?,?
0,5/7/26 0:05:28,688,거북손손,-,?,거북손96,1.0,1.0,13,12,200,95.6,95.6,95.6,15.0,13.0,15.0,1, - , - , - , - , - , - ,0.0,2253,2253,거북손데스,2277,2277,거북손데스,1902,1902,Default,,,0,0,?,?,0,2375,1,0,?,?,?,0,?,?
0,5/7/26 0:05:25,813,염버니,-,?,염버니62,2.0,2.0,43,24,200,62.2,62.2,62.2,3.0,12.0,13.0,1, - , - , - , - , - , - ,0.0,529,529,에이스번,37,37,에이스번,141,141,Default,,,0,0,?,?,0,2488,1,0,?,?,?,0,?,?
0,5/7/26 0:05:24,396,찌르꼬,-,?,찌르꼬56,8.0,8.0,138,49,800,55.6,55.6,55.6,0.0,14.0,11.0,1, - , - , - , - , - , - ,0.0,11,11,찌르호크,14,14,찌르호크,93,93,Default,,,0,0,?,?,0,1564,7,0,?,?,?,0,?,?
0,5/7/26 0:05:22,616,쪼마리,-,?,쪼마리80,3.0,3.0,59,31,400,80.0,80.0,80.0,14.0,12.0,10.0,1, - , - , - , - , - , - ,0.0,3259,3259,어지리더,1417,1417,어지리더,1497,1497,Default,,,0,0,?,?,0,2321,7,0,?,?,?,0,?,?
0,5/7/26 0:05:21,16,구구,-,?,구구58,28.0,28.0,454,94,4500,57.8,57.8,57.8,0.0,13.0,13.0,1, - , - , - , - , - , - ,0.0,21,21, - , - , - , - , - , - ,Default,,,0,0,?,?,0,2006,7,0,?,?,?,0,?,?
0,5/7/26 0:05:17,965,부르롱,-,?,부르롱87,20.0,20.0,636,82,2500,86.7,86.7,86.7,15.0,14.0,10.0,1, - , - , - , - , - , - ,0.0, - , - , - , - , - ,부르르룸,2210,2210,Default,,,0,0,?,?,0,2738,1,0,?,?,?,0,?,?
0,5/7/26 0:05:15,94,팬텀,-,?,팬텀58,16.0,16.0,1232,89,1900,57.8,57.8,57.8,3.0,11.0,12.0,1, - , - , - , - , - , - ,0.0, - , - ,팬텀,1616,1616,팬텀,603,603,Default,,,0,0,?,?,0,1995,7,0,?,?,?,0,?,?
0,5/7/26 0:05:14,507,하데리어,-,?,하데리60,21.0,21.0,865,105,3000,60.0,60.0,60.0,4.0,13.0,10.0,1, - , - , - , - , - , - ,0.0, - , - ,하데리어,282,282,바랜드,495,495,Default,,,0,0,?,?,0,2229,1,0,?,?,?,0,?,?
0,5/7/26 0:05:12,588,딱정곤,-,?,딱정곤42,19.0,19.0,560,83,2500,42.2,42.2,42.2,4.0,9.0,6.0,1, - , - , - , - , - , - ,0.0, - , - ,슈바르고,1530,1530,슈바르고,1008,1008,Default,,,0,0,?,?,0,2299,7,0,?,?,?,0,?,?
0,5/7/26 0:05:11,305,갱도라,-,?,갱도라24,10.0,10.0,515,67,1000,24.4,24.4,24.4,3.0,3.0,5.0,1, - , - , - , - , - , - ,0.0, - , - ,보스로라,421,421,보스로라,1353,1353,Default,,,0,0,?,?,0,1486,7,0,?,?,?,0,?,?
0,5/7/26 0:05:09,710,호바귀 M,-,?,호바귀49,12.0,12.0,372,63,1300,48.9,48.9,48.9,6.0,13.0,3.0,1, - , - , - , - , - , - ,0.0,1193,1193,펌킨인 M,2971,2971,펌킨인 M,1512,1512,Default,,,0,0,?,?,0,1712,1,0,?,?,?,0,?,?
0,5/7/26 0:05:07,710,호바귀 XS,-,?,호바귀69,3.0,3.0,82,29,400,68.9,68.9,68.9,8.0,15.0,8.0,1, - , - , - , - , - , - ,0.0,1099,1099,펌킨인 XS,1748,1748,펌킨인 XS,795,795,Default,,,0,0,?,?,0,1714,1,0,?,?,?,0,?,?
0,5/7/26 0:05:05,767,꼬시레,-,?,꼬시레91,15.0,15.0,210,55,1900,91.1,91.1,91.1,15.0,11.0,15.0,1, - , - , - , - , - , - ,0.0,587,587,갑주무사,2229,2229,갑주무사,3155,3155,Default,,,0,0,?,?,0,2447,1,0,?,?,?,0,?,?
0,5/7/26 0:05:04,252,나무지기,-,?,나무지89,20.0,20.0,589,78,2500,88.9,88.9,88.9,15.0,13.0,12.0,1, - , - , - , - , - , - ,0.0, - , - ,나무돌이,2319,2319,나무킹,2240,2240,Default,,,0,0,?,?,0,2085,7,0,?,?,?,0,?,?
0,5/7/26 0:05:03,508,바랜드,-,?,바랜드64,5.0,5.0,354,61,600,64.4,64.4,64.4,0.0,14.0,15.0,1, - , - , - , - , - , - ,0.0,1534,1534,바랜드,778,778,바랜드,1,1,Default,,,0,0,?,?,0,2230,1,0,?,?,?,0,?,?
0,5/7/26 0:04:59,52,나옹 알로라,-,?,나옹 24,6.0,6.0,107,39,600,24.4,24.4,24.4,6.0,1.0,4.0,1, - , - , - , - , - , - ,0.0,2069,2069,페르시온 알로라,3117,3117, - , - , - ,Default,,,0,0,?,?,0,415,1,0,?,?,?,0,?,?
0,5/7/26 0:04:57,9,거북왕,-,?,거북왕96,15.0,15.0,1052,105,1900,95.6,95.6,95.6,15.0,13.0,15.0,1, - , - , - , - , - , - ,0.0, - , - ,거북왕,3210,3210,거북왕,2545,2545,Default,,,0,0,?,?,0,605,7,0,?,?,?,0,?,?
0,5/7/26 0:04:56,960,바다그다,-,?,바다그69,25.0,25.0,372,48,4000,68.9,68.9,68.9,14.0,12.0,5.0,1, - , - , - , - , - , - ,0.0,2854,2854,바닥트리오,3454,3454, - , - , - ,Default,,,0,0,?,?,0,2734,1,0,?,?,?,0,?,?
0,5/7/26 0:04:52,41,주뱃,-,?,주뱃56,11.0,11.0,175,58,1300,55.6,55.6,55.6,1.0,13.0,11.0,1, - , - , - , - , - , - ,0.0,186,186,크로뱃,29,29,크로뱃,51,51,Default,,,0,0,?,?,0,612,7,0,?,?,?,0,?,?
0,5/7/26 0:04:51,102,아라리,-,?,아라리64,11.0,11.0,322,75,1300,64.4,64.4,64.4,0.0,14.0,15.0,1, - , - , - , - , - , - ,0.0,4,4,나시,17,17,나시,40,40,Default,,,0,0,?,?,0,1194,7,0,?,?,?,0,?,?
0,5/7/26 0:04:49,13,뿔충이,-,?,뿔충이82,7.0,7.0,85,45,800,82.2,82.2,82.2,15.0,13.0,9.0,1, - , - , - , - , - , - ,0.0,88,88,독침붕,2886,2886, - , - , - ,Default,,,0,0,?,?,0,948,7,0,?,?,?,0,?,?
0,5/7/26 0:04:48,529,두더류,-,?,두더류91,20.0,20.0,775,99,2500,91.1,91.1,91.1,15.0,14.0,12.0,1, - , - , - , - , - , - ,0.0, - , - ,두더류,150,150,몰드류,1811,1811,Default,,,0,0,?,?,0,2249,7,0,?,?,?,0,?,?
0,5/7/26 0:04:46,529,두더류,-,?,두더류89,20.0,20.0,773,99,2500,88.9,88.9,88.9,15.0,14.0,11.0,1, - , - , - , - , - , - ,0.0, - , - ,두더류,240,240,몰드류,2402,2402,Default,,,0,0,?,?,0,2249,7,0,?,?,?,0,?,?
0,5/7/26 0:04:44,69,모다피,-,?,모다피40,26.0,26.0,651,99,4000,40.0,40.0,40.0,4.0,5.0,9.0,1, - , - , - , - , - , - ,0.0, - , - ,우츠동,1774,1774,우츠보트,1299,1299,Default,,,0,0,?,?,0,1038,7,0,?,?,?,0,?,?
